model_answer,student_answer,grades
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,tree node two node node on left le root node on right great root,4
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,set number arrange link node contain two pointer element node leave parent small node right large recursive implementation implies traverse order output sort,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,tree data structure node value total order define on value leave subtree contains only value less parent node vice versa right subtree,5
A collection of elements that can be allocated dynamically.,link list data structure contain one data element pointer next node,4
A collection of elements that can be allocated dynamically.,link list chain structs record call node ability add delete retrieve item,4
A collection of elements that can be allocated dynamically.,list element node link one another element point next element,4
A collection of elements that can be allocated dynamically.,data structure sequence node contain arbitrary data field one two reference link point next and or previous node,4
A collection of elements that can be allocated dynamically.,item data structure link use pointer,4
A collection of elements that can be allocated dynamically.,data type contain pointer least next element list,4
A collection of elements that can be allocated dynamically.,link list list item list point next item list,4
A collection of elements that can be allocated dynamically.,consists sequence node contain number data field one two link call pointer point next previous node,4
A collection of elements that can be allocated dynamically.,list pointer link 2 other every pointer point next pointer next element,4
A collection of elements that can be allocated dynamically.,array base list use implicit order scheme often use pointer,1
A collection of elements that can be allocated dynamically.,information memory link next piece information only link forward not backwards,2
A collection of elements that can be allocated dynamically.,series structure contain data item pointer link structure next structure,4
A collection of elements that can be allocated dynamically.,link list collection object contain least one data member pointer next object list and previous object case doubly link list,4
A collection of elements that can be allocated dynamically.,list node node contains data member also pointer next node,4
A collection of elements that can be allocated dynamically.,linear collection self referential node connect pointer,4
A collection of elements that can be allocated dynamically.,list item link together item link successor,4
A collection of elements that can be allocated dynamically.,list object object contain link next item list,4
A collection of elements that can be allocated dynamically.,series node structure value pointer point similar node not quite array still carry list value,4
A collection of elements that can be allocated dynamically.,link list data structure build structure pointer form chain node pointer represent link chain hold entire thing together,4
A collection of elements that can be allocated dynamically.,link list one fundamental data structure use implement data structure consist sequence node contain arbitrary data field one two reference link point next and or previous node,4
A collection of elements that can be allocated dynamically.,one fundamental data structure use implement data structure consist sequence node contain arbitrary data field one two reference link point next and or previous node,4
A collection of elements that can be allocated dynamically.,sequence node contain data field specify programmer pointer s point next previous node,4
A collection of elements that can be allocated dynamically.,component contain node data item pointer next item list,4
A collection of elements that can be allocated dynamically.,link list chain structs record call node node least two member one point next item node list,4
A collection of elements that can be allocated dynamically.,link list chain node store single piece data pointer variable point node list,4
A collection of elements that can be allocated dynamically.,link list data structure not necessarily contiguous memory space such array hold data type point next data item list doubly link list also previous item,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",finite set node start root terminate leaf,3
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",one nod hierarchy start root branch off like tree subtrees,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",group data parent child structure,2
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",finite collection node start element call root child child child get leaf last element child,4
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree finite set one node that specially designate node call root,4
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",list number list make compare value node already tree add appropriate spot list make up node leave right pointer,1
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",connect undirected graph without cycle,4
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",organizes data nonlinear hierarchical form item one successor partition root node subset general subtrees root,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree series node node link node,1
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree data structure node link hierarchical manner,2
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree data structure one data node contain data node number attach child node create branched structure tree name for,4
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",data structure contain root internal node external node node reference another node mean pointer pas by reference root base tree no parent leaf node end tree point null,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree finite set one node specially designate node call root remain node partition n gt 0 disjoint set t n plus 1 element set tree,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree finite set one node specially designate node call root remain node partition disjoint set set tree,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",nonlinear two dimensional data structure,0
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",type data structure element attach one element directly beneath it,3
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",set data arrange pointer element many pointer no two pointer point element,1
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",finite set one nodes root node node split tree less value root,3
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree branch data structure nod leave special node call root no parent node however like node 2 node link to namely one on right one on left,4
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",set one node hierarchically organize one special â rootâ node,3
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",finite number node one root node node certain number child node child also tree,5
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",infinite set node root descendant addition leaf,2
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",hierarchy node sort particular order node ancestor except root child except leaf,3
"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",tree finite set one node specially designate node call root,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initializes object object class function class performs task display line text kind mathematical operation,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor cannot return value cannot specify return type normally constructor declare public,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor automatically call whenever instance class create function must explicitly call user,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor cannot return value not even void function get return value,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor special block statement call object create either declare statically construct on stack however function portion code within large program performs specific task independent rest code,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor cannot return value cannot specify return type like function can,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor function initialize class instance function performs whatever task write,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initialize value function usual performs sort operation,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor use create instance class name class function cannot name class compute data,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor cannot return value not even void use initialize object s data create whereas function create specific task return value,5
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initialises everything nothing leave empty random varioubles function modifies variables data,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor function use initialize object s data create,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor not return type,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor function not function constructor also function nearly infinite purpose constructor always create instance whichever class use change how constructor something not do function change not only how also what,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor use create object employ main function program not execute code along it function set code executes call not create new object,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor set up default value variable object instantiate whereas function allow interaction object,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initializes object function part object,1
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor cannot return value,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initialize data use calculation function,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor function use initialize object s data create call make implicitly object create must define name class constructor also cannot return value like function can,5
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor not need type use initialize variable,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor typically use intialize data member allocate resource instance memory file etc also constructor cannot return value function operation maybe globally define,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor create class object memory function perform action against object,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor call whenever new object class make,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",unlike regular function constructor only use initialize objectâ s data create constructor must also give name class cannot return value,5
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initialized value execution instantiation provide default value,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor call class create function call time,4
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor method start new instance class example employee employee1 parameter start new instance object type employee function simply module w in program completes single desire task,2
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor not return date no return type function return date not return data return type,3
"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructor initialize data member function actually perform task constructor cant return value either,3
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",list element first one remove last one insert,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",adt whose recently insert item first item remove retrieved property call last in first lifo item enter leave stack top,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack data structure use push insert item pop remove ad item stack use last first structure insert remove item,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",data structure move element last first,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",collection data execute order last first,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",store set element particular order,0
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",abstract data type store set element particular order,1
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",store set element particular order,0
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",object list store elements particular order first object insert bottom last object top first object last object out,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",finite ordered list zero element,0
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",data structure put element list only allow user access last element,4
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack adt store set element particular order,1
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack type container adaptor specifically design operate lifo context last in first out element insert extract only end container,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",store set element particular order stack principle last first out mean last element insert first one remove,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",list only top or last item add modify,4
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",store set element last first order,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack abstract data type operate on last first basis store list object not support least pure stack peek element without remove rest stack first,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",list add remove only top,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",adt store set element particular order stack principles lifo last item insert list first out,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",store set element particular order base on principle last first lifo,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack data structure allow data member add removed one time order last first out structure,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",data structure store item access last in first out order implement three way,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack similar array not allow random access stack only allow user retrieve last item put stack last in fist out,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",data structure store data use lifo,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",storage container hold object certain order lifo priority,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",stack abstract data type base on principle last element insert stack first element remove stack,5
"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",data type store set element certain order last in first out,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",first in first abstract data type use store value,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",wait list item operation fifo first first out order,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",like stack us link list stack little differently fifo first thing enqueued first thing dequeued,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue fifo data structure,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue similar array except data only access sequentially rather random unlike stack queue follow fifo first in first out,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",like link list first first,4
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",quese list store set element particular order stack principle case first in first out first element insert first element remove,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",last in last architecture work way line bank work person that s wait long get serve first,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue list object particular order read one time start first follow second on,4
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue another data structure physical analogy queue line bank go bank customer go rear end line customer come off line i e service front line,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue store set element particular order principle operation fifo first first out mean first element insert first one remove,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",data structure c collection data keep order first first out,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue abstract data structure operation perform end give queue first first behavior,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",object store element order follow first first out first element add first one come off,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue data structure store element first first order,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue buffer store element particular order,2
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",data structure remove node head add node tail,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",adt whose first inserted item first item remove use fifo idea item enter queue back leave front,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue first first data structure,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",store set element particular order first in first principle,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",particular kind collection entity collection keep order principal or only operation on collection addition entity rear terminal position removal entity front terminal position first first fifo method,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",data structure performs operation order first first fifo,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue first first out data structure first element add also first remove,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue list thing follow first first behavior,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",queue storage container hold object first in first priority,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",store set element first element in first element remove,5
"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).",finite ordered list zero element base upon first first,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,like link list expect first last,0
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,data structure c first element queue first element take queue,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue linear first in first out data structure data must access order put queue only old item queue accessible time main function define enqueue dequeue,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue first first data structure much like line movie theatre first object line first object handle enact upon,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,lot like stack except first item put list first item take list,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,first first list item like put 5 4 3 2 1 queue dequeue item remove item order put in thus put out 5 4 3 2 1 exact order,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,list item user only access first element new element add end,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue data structure first node first node out,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,list object follow rule first first out essentially link list go order first object list first take off,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue set element first element insert first element remove,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,link list first in structure dequeue head list enqueue end list,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue like stack except follow fifo first first out,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,data structure implement first in first out element long first get serve,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue abstract data type involve put element back list queue use fifo first first out idea first element list first come out,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,particular set entity put certain order enqueue dequeue function,1.5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue buffer follow rule first first out queue useful computer science schedule,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue list data follow fifo principle example get line movie theater the first one get buy ticket first,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue data structure hold set object fifo first first out priority,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue data type operate filo first last out method mean first element insert queue first element remove,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,like link list except first last,0
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue abstract data type base off priniple first first out fifo first item inserted list first item take out,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue data structure insert data fifo configuration be data input structure always end data take always begin,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,ordered list performs task order first first out add item queue place item behind rest them take item off queue take one wait long,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,first first out,4
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue abstract data type performs operation on end list exhibit first in first out behavior,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,data structure insert element end remove element front,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,queue collection element characteristic first first fifo first item first item out additional item add end list,5
A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,first first out data structure implement either link list array,5
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function prototype describe class s public interface without reveal class s member function implementation function definition show implementation do,5
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function prototype declaration function tell compiler function s name return type type parameter,5
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function definition that definition prototype compiler use check call function correct,1
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function definition contain code function work function prototype show output input function name,5
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function prototype locate h file only contain access function name paramater type function definition contain code function perform activity,4
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function prototype declaration function exist cant use actual function function create definition within tell compiler function do,3
"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",function definition not require additional information need pass inside parenthesis execute definition prototype require one parameter pass order complete task,5
